username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
ExiaXD,,,19.87,,14.87,25.0,0.8688,0.918,31.35,True,39.31,1,309.0,"ExiaXD scores 31.35 with consistency score 25.0, bancho score 19.9, recent tournament form 14.9; reliability 0.869, activity 0.918, provisional",{}
APTEM,,,18.98,,10.03,25.0,0.8688,0.9391,31.23,True,38.27,1,169.0,"APTEM scores 31.23 with consistency score 25.0, bancho score 19.0, recent tournament form 10.0; reliability 0.869, activity 0.939, provisional",{}
zebedee,,,19.53,,13.83,25.0,0.8688,0.918,31.17,True,39.08,1,309.0,"zebedee scores 31.17 with consistency score 25.0, bancho score 19.5, recent tournament form 13.8; reliability 0.869, activity 0.918, provisional",{}
Abdulmalik,,,26.29,,11.22,25.0,0.8688,0.9159,31.11,True,39.1,1,331.0,"Abdulmalik scores 31.11 with bancho score 26.3, consistency score 25.0, recent tournament form 11.2; reliability 0.869, activity 0.916, provisional",{}
Goodbye Brother,,,23.41,,16.87,25.0,0.85,0.9079,30.87,True,40.0,0,457.0,"Goodbye Brother scores 30.87 with consistency score 25.0, bancho score 23.4, recent tournament form 16.9; reliability 0.850, activity 0.908, provisional",{}
Eunha,,,38.35,,8.21,25.0,0.85,0.9093,30.5,True,39.46,0,428.0,"Eunha scores 30.50 with bancho score 38.4, consistency score 25.0, recent tournament form 8.2; reliability 0.850, activity 0.909, provisional",{}
aconite,,,13.44,,17.48,25.0,0.85,0.908,30.35,True,39.32,0,454.0,"aconite scores 30.35 with consistency score 25.0, recent tournament form 17.5, bancho score 13.4; reliability 0.850, activity 0.908, provisional",{}
sph3re,,,11.82,,16.7,25.0,0.85,0.9079,30.12,True,39.04,0,457.0,"sph3re scores 30.12 with consistency score 25.0, recent tournament form 16.7, bancho score 11.8; reliability 0.850, activity 0.908, provisional",{}
ImTK,,,14.85,,14.45,25.0,0.85,0.9079,29.96,True,38.83,0,457.0,"ImTK scores 29.96 with consistency score 25.0, bancho score 14.9, recent tournament form 14.4; reliability 0.850, activity 0.908, provisional",{}
HopeRaven,,,15.9,,11.84,25.0,0.85,0.9079,29.63,True,38.39,0,457.0,"HopeRaven scores 29.63 with consistency score 25.0, bancho score 15.9, recent tournament form 11.8; reliability 0.850, activity 0.908, provisional",{}
Wokki,,,14.23,,12.1,25.0,0.85,0.9079,29.56,True,38.31,0,457.0,"Wokki scores 29.56 with consistency score 25.0, bancho score 14.2, recent tournament form 12.1; reliability 0.850, activity 0.908, provisional",{}
Shylily,,,0.17,,13.33,25.0,0.85,0.908,28.89,True,37.43,0,454.0,"Shylily scores 28.89 with consistency score 25.0, recent tournament form 13.3, bancho score 0.2; reliability 0.850, activity 0.908, provisional",{}
OG_PannuLappu,,,0.0,,10.84,25.0,0.85,0.9079,28.49,True,36.92,0,457.0,"OG_PannuLappu scores 28.49 with consistency score 25.0, recent tournament form 10.8, bancho score 0.0; reliability 0.850, activity 0.908, provisional",{}
