username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
Satsukiiii,,,42.83,,48.04,81.27,0.8688,0.9442,42.5,True,51.81,1,147.0,"Satsukiiii scores 42.50 with consistency score 81.3, recent tournament form 48.0, bancho score 42.8; reliability 0.869, activity 0.944, provisional",{}
Fleh,,,56.19,,43.95,74.86,0.8688,0.9475,42.48,True,51.6,1,134.0,"Fleh scores 42.48 with consistency score 74.9, bancho score 56.2, recent tournament form 44.0; reliability 0.869, activity 0.948, provisional",{}
RAFUNA,,,46.74,,47.94,74.91,0.8688,0.9439,42.43,True,51.74,1,148.0,"RAFUNA scores 42.43 with consistency score 74.9, recent tournament form 47.9, bancho score 46.7; reliability 0.869, activity 0.944, provisional",{}
PinkEyeFan2013,,,70.17,,39.94,67.88,0.8688,0.9478,42.41,True,51.5,1,133.0,"PinkEyeFan2013 scores 42.41 with bancho score 70.2, consistency score 67.9, recent tournament form 39.9; reliability 0.869, activity 0.948, provisional",{}
Tim Kackner,,,51.5,,43.68,82.61,0.8688,0.9475,42.37,True,51.47,1,134.0,"Tim Kackner scores 42.37 with consistency score 82.6, bancho score 51.5, recent tournament form 43.7; reliability 0.869, activity 0.948, provisional",{}
[Q],,,39.49,,49.63,78.71,0.8688,0.9439,42.3,True,51.58,1,148.0,"[Q] scores 42.30 with consistency score 78.7, recent tournament form 49.6, bancho score 39.5; reliability 0.869, activity 0.944, provisional",{}
Rizer,,,47.81,,46.01,79.7,0.8688,0.9442,42.29,True,51.55,1,147.0,"Rizer scores 42.29 with consistency score 79.7, bancho score 47.8, recent tournament form 46.0; reliability 0.869, activity 0.944, provisional",{}
Nopekjk,,,33.28,,51.52,79.25,0.8688,0.9475,42.23,True,51.3,1,134.0,"Nopekjk scores 42.23 with consistency score 79.2, recent tournament form 51.5, bancho score 33.3; reliability 0.869, activity 0.948, provisional",{}
szedis,,,40.96,,45.15,89.84,0.8688,0.9497,42.0,True,50.91,1,126.0,"szedis scores 42.00 with consistency score 89.8, recent tournament form 45.1, bancho score 41.0; reliability 0.869, activity 0.950, provisional",{}
HaSappy,,,50.54,,42.41,86.41,0.8688,0.9459,41.95,True,51.05,1,140.0,"HaSappy scores 41.95 with consistency score 86.4, bancho score 50.5, recent tournament form 42.4; reliability 0.869, activity 0.946, provisional",{}
mint breeze,,,36.44,,57.57,50.0,0.8688,0.9407,41.93,True,51.3,1,162.0,"mint breeze scores 41.93 with recent tournament form 57.6, consistency score 50.0, bancho score 36.4; reliability 0.869, activity 0.941, provisional",{}
NOUMEN BREAK,,,47.07,,45.21,80.82,0.8688,0.9442,41.88,True,51.06,1,147.0,"NOUMEN BREAK scores 41.88 with consistency score 80.8, bancho score 47.1, recent tournament form 45.2; reliability 0.869, activity 0.944, provisional",{}
Rampax,,,43.14,,46.18,83.68,0.8688,0.9425,41.86,True,51.12,1,154.0,"Rampax scores 41.86 with consistency score 83.7, recent tournament form 46.2, bancho score 43.1; reliability 0.869, activity 0.943, provisional",{}
Rammu,,,40.08,,48.48,78.61,0.8688,0.9442,41.84,True,51.01,1,147.0,"Rammu scores 41.84 with consistency score 78.6, recent tournament form 48.5, bancho score 40.1; reliability 0.869, activity 0.944, provisional",{}
Shirosora,,,54.75,,40.21,86.85,0.8688,0.9442,41.67,True,50.8,1,147.0,"Shirosora scores 41.67 with consistency score 86.8, bancho score 54.8, recent tournament form 40.2; reliability 0.869, activity 0.944, provisional",{}
n0 head,,,39.76,,45.73,87.95,0.8688,0.9425,41.5,True,50.68,1,154.0,"n0 head scores 41.50 with consistency score 88.0, recent tournament form 45.7, bancho score 39.8; reliability 0.869, activity 0.943, provisional",{}
Hinamon,,,46.82,,40.65,96.51,0.8688,0.9425,41.44,True,50.61,1,154.0,"Hinamon scores 41.44 with consistency score 96.5, bancho score 46.8, recent tournament form 40.6; reliability 0.869, activity 0.943, provisional",{}
Aheo,,,45.13,,47.36,72.04,0.8688,0.9425,41.4,True,50.56,1,154.0,"Aheo scores 41.40 with consistency score 72.0, recent tournament form 47.4, bancho score 45.1; reliability 0.869, activity 0.943, provisional",{}
JapWhite,,,56.54,,40.64,79.32,0.8688,0.9442,41.31,True,50.35,1,147.0,"JapWhite scores 41.31 with consistency score 79.3, bancho score 56.5, recent tournament form 40.6; reliability 0.869, activity 0.944, provisional",{}
ChaiPhukChep,,,42.36,,41.65,97.84,0.8688,0.9425,41.22,True,50.34,1,154.0,"ChaiPhukChep scores 41.22 with consistency score 97.8, bancho score 42.4, recent tournament form 41.6; reliability 0.869, activity 0.943, provisional",{}
Andros,,,57.27,,41.4,73.9,0.8688,0.9439,41.14,True,50.17,1,148.0,"Andros scores 41.14 with consistency score 73.9, bancho score 57.3, recent tournament form 41.4; reliability 0.869, activity 0.944, provisional",{}
RafaMat,,,57.52,,40.58,75.11,0.8688,0.9478,41.11,True,49.92,1,133.0,"RafaMat scores 41.11 with consistency score 75.1, bancho score 57.5, recent tournament form 40.6; reliability 0.869, activity 0.948, provisional",{}
-Puyu,,,42.87,,53.24,50.0,0.8688,0.9409,41.06,True,50.23,1,161.0,"-Puyu scores 41.06 with recent tournament form 53.2, consistency score 50.0, bancho score 42.9; reliability 0.869, activity 0.941, provisional",{}
Suyong_,,,63.88,,39.41,68.9,0.8688,0.9475,41.0,True,49.81,1,134.0,"Suyong_ scores 41.00 with consistency score 68.9, bancho score 63.9, recent tournament form 39.4; reliability 0.869, activity 0.948, provisional",{}
aimbotcone,,,72.77,,31.65,83.81,0.8688,0.9475,40.76,True,49.52,1,134.0,"aimbotcone scores 40.76 with consistency score 83.8, bancho score 72.8, recent tournament form 31.6; reliability 0.869, activity 0.948, provisional",{}
Barbone,,,60.09,,38.41,77.61,0.8688,0.9442,40.69,True,49.6,1,147.0,"Barbone scores 40.69 with consistency score 77.6, bancho score 60.1, recent tournament form 38.4; reliability 0.869, activity 0.944, provisional",{}
Kehest,,,31.49,,48.0,83.74,0.8688,0.9439,40.52,True,49.41,1,148.0,"Kehest scores 40.52 with consistency score 83.7, recent tournament form 48.0, bancho score 31.5; reliability 0.869, activity 0.944, provisional",{}
PotJohn Nutella,,,37.97,,45.25,85.25,0.8688,0.9409,40.5,True,49.54,1,161.0,"PotJohn Nutella scores 40.50 with consistency score 85.2, recent tournament form 45.2, bancho score 38.0; reliability 0.869, activity 0.941, provisional",{}
Sobu,,,47.89,,49.96,50.0,0.8688,0.9404,40.41,True,49.47,1,163.0,"Sobu scores 40.41 with consistency score 50.0, recent tournament form 50.0, bancho score 47.9; reliability 0.869, activity 0.940, provisional",{}
Seamie,,,32.55,,50.31,72.88,0.8688,0.9404,40.38,True,49.42,1,163.0,"Seamie scores 40.38 with consistency score 72.9, recent tournament form 50.3, bancho score 32.6; reliability 0.869, activity 0.940, provisional",{}
yip,,,36.47,,48.25,70.94,0.8688,0.9478,40.21,True,48.83,1,133.0,"yip scores 40.21 with consistency score 70.9, recent tournament form 48.2, bancho score 36.5; reliability 0.869, activity 0.948, provisional",{}
Furamun,,,40.84,,44.47,79.18,0.8688,0.9439,40.06,True,48.85,1,148.0,"Furamun scores 40.06 with consistency score 79.2, recent tournament form 44.5, bancho score 40.8; reliability 0.869, activity 0.944, provisional",{}
Spinesnight,,,33.58,,45.7,85.77,0.8688,0.9442,40.06,True,48.83,1,147.0,"Spinesnight scores 40.06 with consistency score 85.8, recent tournament form 45.7, bancho score 33.6; reliability 0.869, activity 0.944, provisional",{}
trumpatino69,,,59.02,,39.02,71.56,0.8688,0.9439,40.02,True,48.8,1,148.0,"trumpatino69 scores 40.02 with consistency score 71.6, bancho score 59.0, recent tournament form 39.0; reliability 0.869, activity 0.944, provisional",{}
John ethken,,,35.19,,47.75,75.1,0.8688,0.9425,40.0,True,48.85,1,154.0,"John ethken scores 40.00 with consistency score 75.1, recent tournament form 47.8, bancho score 35.2; reliability 0.869, activity 0.943, provisional",{}
Mahmood,,,57.99,,36.98,80.32,0.8688,0.9457,39.96,True,48.64,1,141.0,"Mahmood scores 39.96 with consistency score 80.3, bancho score 58.0, recent tournament form 37.0; reliability 0.869, activity 0.946, provisional",{}
Seiong,,,49.27,,40.07,82.64,0.8688,0.9425,39.92,True,48.75,1,154.0,"Seiong scores 39.92 with consistency score 82.6, bancho score 49.3, recent tournament form 40.1; reliability 0.869, activity 0.943, provisional",{}
tayko,,,44.84,,42.91,77.08,0.8688,0.9442,39.83,True,48.55,1,147.0,"tayko scores 39.83 with consistency score 77.1, bancho score 44.8, recent tournament form 42.9; reliability 0.869, activity 0.944, provisional",{}
Chipori,,,52.62,,38.69,80.39,0.8688,0.9475,39.83,True,48.38,1,134.0,"Chipori scores 39.83 with consistency score 80.4, bancho score 52.6, recent tournament form 38.7; reliability 0.869, activity 0.948, provisional",{}
gheanfoil,,,46.56,,40.91,81.54,0.8688,0.9439,39.72,True,48.44,1,148.0,"gheanfoil scores 39.72 with consistency score 81.5, bancho score 46.6, recent tournament form 40.9; reliability 0.869, activity 0.944, provisional",{}
shiyumi,,,32.64,,46.93,78.33,0.8688,0.9425,39.49,True,48.22,1,154.0,"shiyumi scores 39.49 with consistency score 78.3, recent tournament form 46.9, bancho score 32.6; reliability 0.869, activity 0.943, provisional",{}
Lunasa,,,42.03,,41.28,85.67,0.8688,0.9425,39.46,True,48.19,1,154.0,"Lunasa scores 39.46 with consistency score 85.7, bancho score 42.0, recent tournament form 41.3; reliability 0.869, activity 0.943, provisional",{}
[dekori],,,39.45,,41.4,87.85,0.8688,0.9437,39.33,True,47.97,1,149.0,"[dekori] scores 39.33 with consistency score 87.8, recent tournament form 41.4, bancho score 39.5; reliability 0.869, activity 0.944, provisional",{}
haga1115,,,50.12,,38.24,83.23,0.8688,0.9439,39.31,True,47.94,1,148.0,"haga1115 scores 39.31 with consistency score 83.2, bancho score 50.1, recent tournament form 38.2; reliability 0.869, activity 0.944, provisional",{}
okinamo,,,51.87,,41.73,63.48,0.8688,0.9475,39.09,True,47.48,1,134.0,"okinamo scores 39.09 with consistency score 63.5, bancho score 51.9, recent tournament form 41.7; reliability 0.869, activity 0.948, provisional",{}
GAO HAO,,,25.29,,49.5,74.0,0.8688,0.9478,38.98,True,47.34,1,133.0,"GAO HAO scores 38.98 with consistency score 74.0, recent tournament form 49.5, bancho score 25.3; reliability 0.869, activity 0.948, provisional",{}
Homutan,,,51.03,,38.47,77.53,0.8688,0.9439,38.9,True,47.43,1,148.0,"Homutan scores 38.90 with consistency score 77.5, bancho score 51.0, recent tournament form 38.5; reliability 0.869, activity 0.944, provisional",{}
3uma,,,35.85,,42.05,87.83,0.8688,0.9425,38.88,True,47.48,1,154.0,"3uma scores 38.88 with consistency score 87.8, recent tournament form 42.0, bancho score 35.8; reliability 0.869, activity 0.943, provisional",{}
Homura--,,,33.17,,44.88,79.15,0.8688,0.9459,38.82,True,47.23,1,140.0,"Homura-- scores 38.82 with consistency score 79.2, recent tournament form 44.9, bancho score 33.2; reliability 0.869, activity 0.946, provisional",{}
-NyX,,,37.75,,41.08,87.72,0.8688,0.9423,38.76,True,47.34,1,155.0,"-NyX scores 38.76 with consistency score 87.7, recent tournament form 41.1, bancho score 37.8; reliability 0.869, activity 0.942, provisional",{}
towny1,,,44.31,,39.56,82.66,0.8688,0.9437,38.73,True,47.24,1,149.0,"towny1 scores 38.73 with consistency score 82.7, bancho score 44.3, recent tournament form 39.6; reliability 0.869, activity 0.944, provisional",{}
BabyScylla,,,35.39,,42.87,83.58,0.8688,0.9437,38.72,True,47.22,1,149.0,"BabyScylla scores 38.72 with consistency score 83.6, recent tournament form 42.9, bancho score 35.4; reliability 0.869, activity 0.944, provisional",{}
