#REF!,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,OWC 2025 Qualifiers ⬥ Performance Scores,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,#,,,player,pscore ▼,played,counted,avg. score*,avg. acc,highest score*,,,,,,notes,,,
,,,,,,,,,,,,,,,,,,,,,
,,★,#1,PL:,,MALISZEWSKI,2.591,20 / 22,10 / 11,"828,723",99.18%,,NM1,S,"1,015,930",0.91,,"• *all scores are normalized
     (mod multipliers removed)

• performance score takes into account relative
  scores and the amount of maps played
     (essentially 'match costs' for the entire round)

• star (★) = at least 70% participation",,,
,,★,#99,AT:,,z9a,1.405,16 / 20,9 / 11,"517,037",96.14%,,NM2,S,"964,078",,,,,,
,,,#100,RU:,,desuqe,1.400,13 / 22,5 / 11,"520,235",97.52%,,NM4,S,"867,689",,,,,,
,,★,#101,IL:,,PaintedKoala,1.398,18 / 22,9 / 11,"482,995",96.29%,,NM2,S,"944,421",,,,,,
,,,#102,AU:,,Xaver,1.396,12 / 22,6 / 11,"587,562",98.01%,,NM1,S,"1,002,448",,,,,,
,,,#103,ID:,,GNX,1.388,15 / 22,8 / 11,"477,577",96.15%,,NM3,A,"850,988",,,,,,
,,,#104,CA:,,steamhappy,1.386,4 / 22,1 / 11,"603,270",97.89%,,HD2,A,"705,640",,,,,,
,,★,#105,FI:,,savilju,1.386,18 / 22,9 / 11,"469,064",96.54%,,NM3,A,"875,810",,,,,,
,,★,#106,TH:,,chests,1.380,19 / 22,9 / 11,"454,808",95.43%,,NM1,A,"761,947",,,,,,
,,★,#107,ID:,,Thatnoobguy,1.377,16 / 22,7 / 11,"528,076",96.81%,,NM1,S,"1,004,810",,,,,,
,,,#108,PL:,,Rafis,1.374,5 / 22,3 / 11,"831,423",99.23%,,DT1,A,"983,905",,,,,,
,,★,#109,UY:,,Rebo,1.370,19 / 22,10 / 11,"459,790",97.22%,,NM2,S,"978,646",,,,,,
,,★,#110,BE:,,Mornis,1.361,18 / 22,9 / 11,"495,994",97.60%,,NM3,A,"924,991",,,,,,
,,,#111,TH:,,Arz3,1.355,13 / 22,7 / 11,"557,863",96.57%,,NM2,S,"990,691",,,,,,
,,,#112,JP:,,YMD,1.353,12 / 22,6 / 11,"550,720",97.33%,,NM1,S,"994,595",,,,,,
,,★,#113,IT:,,MeOwz,1.353,18 / 22,8 / 11,"515,585",96.86%,,DT1,S,"903,063",,,,,,
,,,#114,DE:,,Fleh,1.352,12 / 22,5 / 11,"573,096",97.41%,,NM2,S,"983,579",,,,,,
,,,#115,NO:,,papercandle,1.342,12 / 22,6 / 11,"584,244",98.49%,,NM1,S,"1,017,707",,,,,,
,,,#116,BR:,,VitorSkull,1.335,12 / 22,6 / 11,"557,221",96.92%,,NM2,S,"971,603",,,,,,
,,★,#117,SG:,,Dawnwing,1.331,16 / 22,8 / 11,"453,095",95.65%,,HR1,A,"759,525",,,,,,
,,,#118,CA:,,PinkEyeFan2013,1.326,6 / 22,3 / 11,"767,548",98.53%,,DT1,S,"961,472",,,,,,
,,★,#119,MY:,,mint breeze,1.324,18 / 22,9 / 11,"493,903",95.74%,,DT1,A,"926,126",,,,,,
,,,#120,KZ:,,Ternafis,1.323,13 / 22,6 / 11,"527,236",96.90%,,NM1,A,"886,357",,,,,,
,,★,#121,MY:,,Rampax,1.322,19 / 22,9 / 11,"503,773",96.43%,,NM3,S,"924,998",,,,,,
,,★,#122,GR:,,-Puyu,1.321,20 / 22,10 / 11,"445,048",96.74%,,DT2,A,"938,795",,,,,,
,,,#123,FI:,,AllyrD,1.310,10 / 22,5 / 11,"547,891",98.17%,,NM1,S,"880,831",,,,,,
,,,#124,GB:,,lystia,1.307,4 / 22,2 / 11,"551,498",96.56%,,HD2,A,"728,875",,,,,,
,,,#125,SE:,,Guyra_,1.307,15 / 22,7 / 11,"453,690",96.63%,,NM1,A,"685,083",,,,,,
,,,#126,BR:,,Coreanmaluco,1.305,12 / 22,7 / 11,"520,635",97.31%,,NM2,A,"718,781",,,,,,
,,,#127,US:,,[C],1.296,4 / 21,2 / 11,"537,651",98.49%,,HD2,A,"674,609",,,,,,
,,,#128,PH:,,LordGabriel,1.289,11 / 22,5 / 11,"567,158",97.02%,,NM1,S,"1,004,630",,,,,,
,,★,#129,JP:,,Furamun,1.285,16 / 22,8 / 11,"477,626",96.73%,,NM2,S,"962,887",,,,,,
,,★,#130,LV:,,hihihaha142,1.282,21 / 22,10 / 11,"437,061",96.53%,,NM3,S,"955,933",,,,,,
,,★,#131,SG:,,hollowknees,1.281,16 / 22,8 / 11,"471,038",95.70%,,DT2,S,"892,571",,,,,,
,,,#132,RU:,,maxim,1.278,4 / 22,2 / 11,"842,114",98.48%,,DT1,S,"981,351",,,,,,
,,,#133,CL:,,siiphs,1.276,10 / 22,5 / 11,"562,006",98.03%,,NM1,A,"775,194",,,,,,
,,★,#134,TH:,,-Kedama,1.275,16 / 22,7 / 11,"457,859",96.29%,,NM4,S,"812,115",,,,,,
