username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
nuxx,,,44.58,,53.98,25.0,0.8688,0.921,37.86,True,47.31,1,281.0,"nuxx scores 37.86 with recent tournament form 54.0, bancho score 44.6, consistency score 25.0; reliability 0.869, activity 0.921, provisional",{}
hav,,,35.93,,54.97,25.0,0.8688,0.9478,37.73,True,45.81,1,133.0,"hav scores 37.73 with recent tournament form 55.0, bancho score 35.9, consistency score 25.0; reliability 0.869, activity 0.948, provisional",{}
kusuriya,,,46.97,,50.95,25.0,0.8688,0.9407,37.64,True,46.05,1,162.0,"kusuriya scores 37.64 with recent tournament form 51.0, bancho score 47.0, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Jakson,,,46.92,,34.27,91.89,0.8875,0.9194,37.59,True,46.07,2,295.0,"Jakson scores 37.59 with consistency score 91.9, bancho score 46.9, recent tournament form 34.3; reliability 0.887, activity 0.919, provisional",{}
perthed again,,,58.49,,46.2,25.0,0.8688,0.9409,37.58,True,45.97,1,161.0,"perthed again scores 37.58 with bancho score 58.5, recent tournament form 46.2, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
superi0r,,,73.56,,39.54,25.0,0.8688,0.9475,37.52,True,45.58,1,134.0,"superi0r scores 37.52 with bancho score 73.6, recent tournament form 39.5, consistency score 25.0; reliability 0.869, activity 0.948, provisional",{}
A]],,,53.81,,47.64,25.0,0.8688,0.9423,37.42,True,45.7,1,155.0,"A]] scores 37.42 with bancho score 53.8, recent tournament form 47.6, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
Ethan2222,,,52.22,,48.13,25.0,0.8688,0.9425,37.35,True,45.62,1,154.0,"Ethan2222 scores 37.35 with bancho score 52.2, recent tournament form 48.1, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
siiphs,,,35.2,,38.86,82.45,0.8875,0.9439,37.34,True,44.58,2,148.0,"siiphs scores 37.34 with consistency score 82.5, recent tournament form 38.9, bancho score 35.2; reliability 0.887, activity 0.944, provisional",{}
Fuma,,,32.65,,54.49,25.0,0.8688,0.9597,37.29,True,44.73,1,93.0,"Fuma scores 37.29 with recent tournament form 54.5, bancho score 32.6, consistency score 25.0; reliability 0.869, activity 0.960, provisional",{}
Sobu,,,47.89,,49.97,25.0,0.8688,0.9389,37.26,True,45.68,1,170.0,"Sobu scores 37.26 with recent tournament form 50.0, bancho score 47.9, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
Flyer,,,36.72,,54.05,25.0,0.8688,0.9425,37.22,True,45.45,1,154.0,"Flyer scores 37.22 with recent tournament form 54.0, bancho score 36.7, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
zonelouise,,,50.87,,48.36,25.0,0.8688,0.9425,37.2,True,45.43,1,154.0,"zonelouise scores 37.20 with bancho score 50.9, recent tournament form 48.4, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
YMD,,,54.07,,47.04,25.0,0.8688,0.9423,37.17,True,45.4,1,155.0,"YMD scores 37.17 with bancho score 54.1, recent tournament form 47.0, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
Ternafis,,,27.72,,57.15,25.0,0.8688,0.9409,36.9,True,45.14,1,161.0,"Ternafis scores 36.90 with recent tournament form 57.1, bancho score 27.7, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Skydiver,,,39.38,,50.65,25.0,0.8688,0.9624,36.82,True,44.03,1,85.0,"Skydiver scores 36.82 with recent tournament form 50.6, bancho score 39.4, consistency score 25.0; reliability 0.869, activity 0.962, provisional",{}
Hanori,,,32.39,,39.79,80.39,0.8875,0.9393,36.8,True,44.15,2,168.0,"Hanori scores 36.80 with consistency score 80.4, recent tournament form 39.8, bancho score 32.4; reliability 0.887, activity 0.939, provisional",{}
nekore,,,51.7,,49.14,25.0,0.8688,0.9179,36.77,True,46.1,1,310.0,"nekore scores 36.77 with bancho score 51.7, recent tournament form 49.1, consistency score 25.0; reliability 0.869, activity 0.918, provisional",{}
VtuberVoiceASMR,,,43.86,,48.53,25.0,0.8688,0.9603,36.57,True,43.83,1,91.0,"VtuberVoiceASMR scores 36.57 with recent tournament form 48.5, bancho score 43.9, consistency score 25.0; reliability 0.869, activity 0.960, provisional",{}
steamhappy,,,23.05,,44.64,70.94,0.8875,0.9459,36.43,True,43.39,2,140.0,"steamhappy scores 36.43 with consistency score 70.9, recent tournament form 44.6, bancho score 23.0; reliability 0.887, activity 0.946, provisional",{}
she gon pay me,,,37.98,,51.86,25.0,0.8688,0.9425,36.38,True,44.43,1,154.0,"she gon pay me scores 36.38 with recent tournament form 51.9, bancho score 38.0, consistency score 25.0; reliability 0.869, activity 0.943, provisional",{}
Mike Tyson,,,56.42,,44.45,25.0,0.8688,0.9423,36.35,True,44.4,1,155.0,"Mike Tyson scores 36.35 with bancho score 56.4, recent tournament form 44.5, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
Fleh,,,56.19,,43.96,25.0,0.8688,0.9457,36.19,True,44.05,1,141.0,"Fleh scores 36.19 with bancho score 56.2, recent tournament form 44.0, consistency score 25.0; reliability 0.869, activity 0.946, provisional",{}
RAFUNA,,,46.74,,47.95,25.0,0.8688,0.9423,36.17,True,44.18,1,155.0,"RAFUNA scores 36.17 with recent tournament form 48.0, bancho score 46.7, consistency score 25.0; reliability 0.869, activity 0.942, provisional",{}
Mekeyo,,,46.18,,48.27,25.0,0.8688,0.9409,36.16,True,44.24,1,161.0,"Mekeyo scores 36.16 with recent tournament form 48.3, bancho score 46.2, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Arz3,,,39.62,,50.66,25.0,0.8688,0.9409,36.05,True,44.1,1,161.0,"Arz3 scores 36.05 with recent tournament form 50.7, bancho score 39.6, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Cymango,,,50.54,,45.7,25.0,0.8688,0.9409,35.75,True,43.74,1,161.0,"Cymango scores 35.75 with bancho score 50.5, recent tournament form 45.7, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
