username,elitebotix_score,skill_issue_score,bancho_score,lazer_score,recent_tournament_form,consistency_score,reliability_multiplier,activity_multiplier,final_power_score,provisional,base_power_score,tournaments_played_last_12m,days_since_last_event,explanation,debug
Ayoukiro,,,,,31.29,25.0,0.8688,0.9154,23.88,True,30.03,1,337.0,"Ayoukiro scores 23.88 with recent tournament form 31.3, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
ChillierPear,,,,,29.95,25.0,0.8688,0.9475,23.84,True,28.96,1,134.0,"ChillierPear scores 23.84 with recent tournament form 29.9, consistency score 25.0; reliability 0.869, activity 0.948, provisional",{}
Rumpowl,,,,,30.83,25.0,0.8688,0.9159,23.6,True,29.66,1,331.0,"Rumpowl scores 23.60 with recent tournament form 30.8, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
KOCT9H,,,,,30.72,25.0,0.8688,0.9186,23.6,True,29.58,1,303.0,"KOCT9H scores 23.60 with recent tournament form 30.7, consistency score 25.0; reliability 0.869, activity 0.919, provisional",{}
Pittinger,,,,,30.71,25.0,0.8688,0.9154,23.52,True,29.57,1,337.0,"Pittinger scores 23.52 with recent tournament form 30.7, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
synchromic,,,,,30.62,25.0,0.8688,0.9147,23.44,True,29.5,1,345.0,"synchromic scores 23.44 with recent tournament form 30.6, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
System Sun,,,,,31.69,25.0,0.85,0.9082,23.43,True,30.35,0,451.0,"System Sun scores 23.43 with recent tournament form 31.7, consistency score 25.0; reliability 0.850, activity 0.908, provisional",{}
MiguisXD,,,,,29.57,25.0,0.8688,0.9407,23.42,True,28.66,1,162.0,"MiguisXD scores 23.42 with recent tournament form 29.6, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
Daldor,,,,,29.56,25.0,0.8688,0.9391,23.37,True,28.65,1,169.0,"Daldor scores 23.37 with recent tournament form 29.6, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
def,,,,,29.5,25.0,0.8688,0.9387,23.32,True,28.6,1,171.0,"def scores 23.32 with recent tournament form 29.5, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
soft bunny,,,,,30.34,25.0,0.8688,0.9158,23.29,True,29.27,1,332.0,"soft bunny scores 23.29 with recent tournament form 30.3, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
Mqnster,,,,,31.2,25.0,0.85,0.9089,23.15,True,29.96,0,435.0,"Mqnster scores 23.15 with recent tournament form 31.2, consistency score 25.0; reliability 0.850, activity 0.909, provisional",{}
MRB,,,,,29.09,25.0,0.8688,0.9391,23.07,True,28.27,1,169.0,"MRB scores 23.07 with recent tournament form 29.1, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
Kenzol,,,,,28.96,25.0,0.8688,0.9389,22.98,True,28.17,1,170.0,"Kenzol scores 22.98 with recent tournament form 29.0, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
Navalus,,,,,29.79,25.0,0.8688,0.9158,22.94,True,28.83,1,332.0,"Navalus scores 22.94 with recent tournament form 29.8, consistency score 25.0; reliability 0.869, activity 0.916, provisional",{}
MyAimPeeps,,,,,28.79,25.0,0.8688,0.9391,22.87,True,28.03,1,169.0,"MyAimPeeps scores 22.87 with recent tournament form 28.8, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
POMAH,,,,,28.75,25.0,0.8688,0.9391,22.84,True,28.0,1,169.0,"POMAH scores 22.84 with recent tournament form 28.8, consistency score 25.0; reliability 0.869, activity 0.939, provisional",{}
zeta,,,,,29.58,25.0,0.8688,0.9153,22.79,True,28.66,1,338.0,"zeta scores 22.79 with recent tournament form 29.6, consistency score 25.0; reliability 0.869, activity 0.915, provisional",{}
Oguri Cap,,,,,27.88,25.0,0.8688,0.9597,22.77,True,27.3,1,93.0,"Oguri Cap scores 22.77 with recent tournament form 27.9, consistency score 25.0; reliability 0.869, activity 0.960, provisional",{}
My Angel Adry,,,,,28.55,25.0,0.8688,0.9407,22.75,True,27.84,1,162.0,"My Angel Adry scores 22.75 with recent tournament form 28.6, consistency score 25.0; reliability 0.869, activity 0.941, provisional",{}
